,alf Cir,ICRS,14,42,30.4195804,-64,58,30.493451,-192.53,-233.51,7.1,60.35,3.19
,pi03 Ori,ICRS,4,49,50.4109057,6,57,40.588294,464.06,11.21,22.41,123.94,3.19
,del Lup,ICRS,15,21,22.3138254072,-40,38,51.10932894,-9.163,-17.377,-2.4,6.73,3.19
,kap Oph,ICRS,16,57,40.0978499,9,22,30.112596,-292.13,-10.38,-55.82,35.66,3.2
,bet01 Cyg A,ICRS,19,30,43.286,27,57,34.84,-1.5,-1.4,NA,NA,3.2
,zet Cyg,ICRS,21,12,56.1859347,30,13,36.895667,6.51,-68.21,16.72,22.79,3.21
,sig Lib,ICRS,15,4,4.2160765,-25,16,55.060636,-71.16,-43.34,-3.9,11.31,3.21
,G Sco,ICRS,17,49,51.4808976914,-37,2,35.794961894,41.717,11.975,24.7,24.73,3.21
,tet Aql,ICRS,20,11,18.2852804,0,49,17.262642,35.26,5.71,-28.02,11.39,3.22
,eps Oph,ICRS,16,18,19.2897431,-4,41,33.034466,83.4,40.58,-9.34,30.64,3.23
,bet Cep,ICRS,21,28,39.5968513,70,33,38.574681,12.54,8.39,-8.2,4.76,3.23
,sig Pup,ICRS,7,29,13.8304917,-43,18,5.159662,-59.55,188.31,87.3,16.84,3.25
,gam Lyr,ICRS,18,58,56.6224137,32,41,22.400295,-3.09,1.11,-20.2,5.26,3.25
,eta Ser,ICRS,18,21,18.600556,-2,53,55.776595,-547.75,-701.42,9.38,53.93,3.25
,eta Oph B,ICRS,17,10,22.6368,-15,43,30.65592,NA,NA,NA,NA,3.26
,tet Oph,ICRS,17,22,0.5793468,-24,59,58.366974,-7.37,-23.94,-2.1,7.48,3.26
,gam Hyi,ICRS,3,47,14.3406211,-74,14,20.268608,50.85,114.74,12.76,15.24,3.26
,p Car,ICRS,10,32,1.4629679,-61,41,7.196308,-17.01,11.5,26,6.75,3.27
,alf Dor,ICRS,4,33,59.77719,-55,2,41.9243,57.75,10.93,25.6,19.34,3.28
,pi Hya,ICRS,14,6,22.2974865,-26,40,56.502378,43.7,-141.18,27.2,32.3,3.28
,del Aqr,ICRS,22,54,39.0062577912,-15,49,14.95043472,-34.152,-26.359,17.4,23.15,3.28
,eta Gem,ICRS,6,14,52.6452865329,22,30,24.434377815,-59.53,-7.766,22.39,4.73,3.28
,del And,ICRS,0,39,19.6751809,30,51,39.67832,114.45,-84.02,-9.88,30.91,3.28
,iot Dra,ICRS,15,24,55.7746265,58,57,57.834445,-8.36,17.08,-10.91,32.23,3.29
,mu Lep,ICRS,5,12,55.9029641016,-16,12,19.6685991,42.803,-16.017,27.1,19.18,3.29
,ksi Pup,ICRS,7,49,17.6556658,-24,51,35.230469,-4.81,-0.89,2.8,2.72,3.3
,bet Phe,ICRS,1,6,5.03952,-46,43,6.2785,-80.81,34.97,-1.1,0.12,3.3
,alf Pic,ICRS,6,48,11.45512,-61,56,29.0008,-66.07,242.97,15.3,33.78,3.3
,tau Sgr,ICRS,19,6,56.4031131168,-27,40,13.496293992,-53.001,-253.304,40.59,28.32,3.31
,del UMa,ICRS,12,15,25.5606327,57,1,57.415606,104.11,7.3,-15.3,40.51,3.32
,eta Sco,ICRS,17,12,9.1956531,-43,14,21.090526,24.47,-288.55,-27,44.39,3.33
,alf Her A,ICRS,17,14,38.852741,14,23,25.33577,-17,47,-33.1,NA,3.33
,ome Car,ICRS,10,13,44.2173938,-70,2,16.456305,-36.01,7.09,10.4,9.54,3.33
,nu Oph,ICRS,17,59,1.5919129,-9,46,25.079852,-9.48,-116.69,13.19,21.64,3.34
,gam Ara,ICRS,17,25,23.6593111,-56,22,39.814775,-0.44,-15.77,-3,2.93,3.34
,eta Ori,ICRS,5,24,28.61672,-2,23,49.7311,-0.71,-3.46,19.8,3.34,3.35
,zet Cep,ICRS,22,10,51.2769159,58,12,4.545587,13.52,5.24,-17.83,3.9,3.35
,tet Leo,ICRS,11,14,14.404463,15,25,46.454086,-60.31,-79.1,7.54,19.76,3.35
,q Car,ICRS,10,17,4.975305,-61,19,56.288301,-24.73,7.2,8.2,4.96,3.35
,alf Ret,ICRS,4,14,25.4841381,-62,28,25.891671,41.97,49.42,35.5,20.18,3.36
,del Aql,ICRS,19,25,29.90139,3,6,53.2061,254.54,82.51,-34,64.41,3.36
,ksi Gem,ICRS,6,45,17.3643205,12,53,44.131127,-115.73,-190.55,27.2,55.56,3.36
,eps Lup,ICRS,15,22,40.8682566,-44,41,22.614637,-22.86,-18.87,7.9,6.37,3.366
,eps Cas,ICRS,1,54,23.734086168,63,40,12.360238788,29.587,-18.387,-8.3,7,3.37
